bldg_guid,node_guid,edge_guid
00b29026-d09b-48ff-80da-7dda22392c5d,83de2dbc-8edd-4952-aa35-ec5ea7d36c00,e3560118-9de2-4f41-b045-816f0af8e6d1
00b327b1-d15c-4bc4-a82d-bf3dd35dfc33,34d3ff96-acf3-45f3-a5c2-afa2cfde4a6f,cb6a3286-901c-49d0-a5de-5a6853866f3d
00b7ada4-0a12-4bb4-adc5-8585bd8528c8,6ef151c8-e88c-4469-9a1a-9aa6bff21751,93fb29e5-596d-49f2-a9c9-d1fa8a506d83
00ba027d-4686-47f5-b6fd-d8beb1372341,59d4cdb7-6474-43c5-b720-93534b6656cc,3f27fa97-fe7f-49ca-ad34-3f51e2379e1a
00ba6c53-0514-4e71-8a03-862ae6bd7f92,d34ab6de-98cb-40c0-99f5-8939625fb57d,80c91b24-96c2-4bac-bd2e-30c83d6e0183
00ba786b-6f71-49d3-9b44-04f45ca60aba,41b47862-1242-4a06-846c-c9b25641c5cd,1ad25758-5e58-4225-9813-ac6fc3e4750d
00bdc77d-5f5e-4595-a120-bee55d03baf6,853d8c59-f552-461a-8a8d-fe808def12c0,6c2c5110-9343-4e45-8b02-1085f2dd1d22
00c69b84-2b90-4c17-8a4f-c9f0118166b3,497e85b8-ea99-414c-9e38-c9492d12173d,c2ea0b0a-ae19-470e-8771-dc830d47321b
00c8f962-643f-42a4-a54e-78f872780be6,77f801d5-4f52-4f54-8bfc-9bcc6c668f1f,5142a977-e776-4f24-9c92-13e8c3b8c592
00ca7f5f-1b01-47af-aa85-b1eb21d8c663,842f1c42-6d81-454f-8721-8c0596fc1317,c06f2ba8-e578-44e7-830d-82a61f740236
00ca8c55-3cc3-4579-8208-cec8d06324f8,f8a0e349-85a8-4f29-a3f7-513cde9e5633,7d55b781-642a-4cd8-8345-1112559ddbb8
00ccf311-8c52-496b-8f71-7c5f62c5d1aa,113eec75-4dd2-4647-b5de-81db9ff7d806,952730d9-c3b7-4f97-8703-95d6a47a751d
00d218ff-017c-4d5d-bcd2-8e46933c5338,ec75d02a-b4a5-4ec1-ae47-9cf8b9d0b1b6,b695d5de-3618-4811-b2d3-d35bba9165f1
00d227e3-ea4b-49d6-b7f1-c25c9b706bd6,0d6a867e-e130-4258-b010-661af384eff6,11c4feab-01fc-4e22-9cfd-58ba521ebd82
00d23f29-357a-4432-bf3c-753e36755c81,97872c36-a748-4901-b359-39c513bd2c2e,defa054d-df28-43d6-b9d9-f6638f9221d4
00d6a97f-65b6-4e02-b768-b3b42b7ee871,4f2f9e05-24a2-476a-9368-e543ab574900,675825d5-ee2f-4a7f-abb0-0f8a9e41d680
00d76d62-a4fd-4a62-bb16-3dfdf6998193,13e79e2e-1fe2-4683-a363-a13b4b72dc8b,376671f8-b34d-4f8f-afcb-7224bb7d4a7e
00d854fe-779a-493f-8c9c-aaf56e55051d,b9d625c9-f42e-4572-9691-47d9c3c5c709,cb1e2d9c-8926-42b1-8826-64ceee7c613f
00dcc056-1dd9-41b8-98b4-84524eafa9dd,4d4f62fe-3e8c-480d-a068-b599a69fbf66,ede48611-effe-42d0-b78c-a8c6593010de
00dd5575-9ce8-4931-a3f2-03c3d00589ae,faf59b95-bf69-4f96-8d19-561826e4a847,d7e728bc-5108-4ccf-a085-07bf1daa5ace
00de4456-9664-4bd2-97df-85cfbde594a8,113eec75-4dd2-4647-b5de-81db9ff7d806,952730d9-c3b7-4f97-8703-95d6a47a751d
00df0820-99f1-4793-89e5-06ff356dc46b,adb3547a-d54a-4a83-91e5-8a04b6c06da3,c9d8d088-2c8c-4fbb-a9ac-7d1bee77f5ad
00df1ce3-e73a-47d2-b217-a40aacbf8d48,9496f095-c9fa-42ca-a0f7-60381ec2ad85,e9ae1034-c1f2-44a4-9039-e47c73fda115
00e17f81-5d36-4dea-9302-80c13bb9f2ae,e50091a2-66a1-4b9b-8acf-eb22a9534cd6,03e21f8c-bb16-4b6a-8168-c12498128f5e
00e57bde-952f-4aad-bf0f-fa446a30cf5f,bdf09e0e-31d9-4fc6-825b-7e9be353cde2,dd77a041-997a-4494-96fb-bae79608bad1
00e628ab-d2df-4b11-a387-37f500381546,d10158fc-b878-46b2-91a2-9aa8103aaeec,9fc4328d-bc3a-4984-adb6-4246eb215dae
00eb36c4-279b-4cab-be69-e7edcfd80162,11f726b8-5e75-45b2-a1a1-e35db7d40a9e,b98d2cf1-078a-4368-9131-c9ef217c8e11
00ee8448-6afb-4479-9292-dbc2e2722095,71a386f8-5f23-4f67-9c9c-bc5359b48da2,1fada1fa-0e11-4eb2-ad34-6be94d7569bf
00efe619-41d1-42bc-8919-e93c53ca0049,1404ad56-b522-4881-8811-c0e17be58b0d,a42e0877-3e1d-4a3d-87c4-e68158afe081
00f1f92e-1f74-4bf7-80be-e653ae509d52,0eb18c5c-9775-4d31-829c-d54610c7481d,84713cf7-4c47-494a-9b4d-1210f23bfdc6
00f23fd1-4623-424a-9c64-fd4690960508,de2dd992-7bf8-4625-847d-480792e7a167,2b4d9d11-c47e-4642-a8ec-ad01964954e5
00f29aea-6677-4b31-8be6-cea6821eebd8,d4c4acd0-fd0a-4750-acba-873388848379,4dcae8b1-b771-4682-927f-c688ab0b156b
00f33588-04e4-41c1-b264-98272f9aa9ab,182ab8df-85b1-4744-ac35-a39dfb264a83,be2869a3-e47c-4930-bed8-3ea898097c55
00f52704-12b4-4c22-8920-ccc2aae9f7a5,d05f7419-1af8-4591-9b62-ec918803cef0,2bfbab4f-1209-45f9-a1d2-567c4c7b303e
00f59b73-a90f-40c2-ad18-8139de3d5af8,4b4c302d-bf68-4bd8-a2b2-2e1e6b17af17,e8d248b8-124a-40d8-bf6b-52c993de8405
00fcd9b7-31b8-45a0-9889-981e228b102b,5410c47a-daa3-4ab0-926d-2df195acca59,0d179598-3936-4768-98ee-fc1b34e2890d
00fe39b6-026f-4d99-ba71-da70720c3927,911b601d-2eee-4bba-80e7-43bcbf973366,3112421f-a419-4994-bcd2-b26a81c0cc1c
00ffb67f-b51d-4a53-a806-965360d188a8,182ab8df-85b1-4744-ac35-a39dfb264a83,be2869a3-e47c-4930-bed8-3ea898097c55
00ffe0bd-66dd-439b-bc6e-19aaaf370d1b,271d2a55-ba44-4bbf-91ef-e0602228464b,fc03b193-e957-423f-8e83-46117a305445
010606cf-b842-4eae-9a1f-9997c43d17a1,f3b6e372-9129-4e67-aa4e-43dca16f6b7a,6cffe13f-328e-4c72-b975-38a9b4b534d8
010747c8-dc5f-4cf1-a093-2ee25830a80c,6613b585-e006-4318-a013-5e336df3c34e,dcac8169-2936-4392-a0a3-7d17df3635b2
010767fd-6c60-400f-a758-672c2ce93a16,160f7731-446c-4354-abfd-7165bf3bff7f,08c136da-2c9a-4be0-829f-902eef4e1b5b
010bbb8d-ae89-490d-b2bb-f7985400cb21,51abb14f-998f-42f2-aa1d-7936c4dd142b,ad2d961d-77a9-4998-a459-c29abcdb67f9
010c86b9-93cc-4f51-8604-a9695450de41,1010cd6c-b0b0-4ba8-8f56-477a1663bdbf,5ae8a822-ebc4-4ae8-8cdd-c08b16b96cb7
010da221-4fa7-46e7-abf1-8e6ac77cd412,c88b123f-eacf-4100-b2d2-d0d9aea88895,f6214c76-a2aa-4f74-a6ab-b2329306c13a
010ff021-bd1f-425a-b964-4d78335c1303,b7f7e49a-b5c3-4a93-b6f2-14d58543d77f,78e36133-74af-4a9c-a4ec-31001586102c
0111477c-b6f0-4b81-b42c-902bc61882eb,6e2ca869-134a-4cdb-9173-3da8983daab1,65ee10c2-908a-4428-b322-72cd7bfd38c3
0114e99b-fb2f-476d-9f21-20cc59c8bcd2,5fcfb49d-db4b-4fb8-9696-ed49a3b86c39,8cc77232-a379-4098-a4ce-70912117ed66
011fa8ca-ee1a-4774-a806-64cbe55e7511,36ff75a3-5c3e-48ca-abb7-ff27076bb97b,475f27a1-4bd0-45f6-8b36-f7315eaf0d67
012184e3-7046-414a-be7a-86e68f6ddcbc,727b394f-1a77-43c3-93d0-a09f686edb02,fba019c1-395d-4f5b-a51c-bf2f7be01932
0125eb50-ed3f-4926-86ed-85c04220d3da,ae400846-b209-48e5-91ab-6c45c8696722,3ab4b0d4-8ab6-40e3-9944-1a0537177662
0128d482-2b52-4bce-b4d0-63433865b6b1,0e77d88b-2a11-43a7-a5ae-2b50dd3c74bd,ef5937c7-a4f6-43c5-ac5e-021533b5c04a
012c8226-64e1-4f4b-a9b3-a768a96a4cb4,23338f52-bbe7-4047-8c67-78ff2175f5bf,d33bbb4c-74fa-4d7a-86e8-dcb3f686c6f7
012d8476-8be2-47d8-a850-d587ece23d08,5b68b6a4-75f7-4b09-8af9-deb48c5a05e8,39b3f646-f23a-4bd7-8b81-235852de24a9
012e1376-c536-4643-8155-0e3b1c6b5758,f281ac6e-6182-48b8-96bb-1f71cf245e32,84a8385a-3ae9-4ae1-b6be-e5125b6c5d9e
012f2cd0-9421-49d3-8e5c-c1a6be2ad7dd,cbb9dfbf-fb1b-4ef5-94fb-6be214065364,71e369b7-5db4-48c8-83e4-a6de1067209e
012fbd9e-fe20-483e-86e7-e81516872b62,5c76541f-de55-4c96-848f-38781843b5cb,e6e662ad-801a-48b9-808a-31c1fd7fb1ee
01331bc2-8332-45e1-a249-502340641a36,69172536-e91e-4dd1-afad-afd1b0b160a0,22825f5a-b4dc-400b-982e-98a84fadd614
01339801-92ee-4ac9-bed6-e9a92e2c2d47,5818349f-8df8-41e9-a726-4fd11e9d6556,113cec03-5bdb-4a01-b82f-5c7a5f8014dd
0133d507-425b-4fe6-b3a7-f91d6ddfbe00,55766763-1890-40e5-ae87-95b5573a77de,594babcf-8246-48cd-a282-ba8e3ac773c4
0134e03b-e699-49cb-ad87-60ee56afccef,51f0b1b4-7d06-414d-9ed1-b34d20585190,0b5f2723-bd2a-4089-808b-c11d92a3d5b6
01359d20-426f-42ed-b554-af052bfce0f9,b487276c-9e54-4450-becf-cce821a302c9,adebe066-c767-4568-bae2-acd38335b668
01364a4d-c525-497c-8279-32d9cac74a8f,3fc14d0f-06a0-4952-b578-fb0d8d90c7a7,db14e14d-d2ea-4e97-893c-518c7e99e70b
013819d4-fafd-421b-bf70-df2496e5a961,ace8d7fd-7824-41b2-85bf-c7fd7495e51e,8e55967b-9ca4-4677-b10d-5520fa09df98
